entity,model,accuracy,precision,recall,f1,auroc,latency,throughput,n_samples,anomaly_rate,consistency
machine-1-1,LOF,0.9635244460077385,0.9584947426674044,0.6429101707498144,0.7696067540546546,0.8742985136728392,8.48552514970921e-05,11784.77445246001,28430,0.0947590573338023,0.7633972215907936
machine-1-1,IF,0.98220189940204,0.9619932432432432,0.8455827765404603,0.9000395100750691,0.9011986450738804,6.05653886916853e-06,165110.80364572725,28430,0.0947590573338023,0.7633972215907936
machine-1-1,AE,0.964650017587056,0.975774647887324,0.6429101707498144,0.7751174759454016,0.8436678166565474,2.734853323932961e-05,36565.03225415802,28430,0.0947590573338023,0.7633972215907936
machine-1-1,LSTM,0.9994372142103412,0.9940959409594096,1.0,0.997039230199852,0.8811943567706729,4.215994020193459e-05,23719.1987277561,28430,0.0947590573338023,0.7633972215907936
machine-1-2,LOF,0.9699725100444068,0.2062937062937063,0.1088560885608856,0.1425120772946859,0.6538841859006825,6.531537322378305e-05,15310.331253467808,23645,0.0229223937407485,0.926840239367728
machine-1-2,IF,0.9927680270670332,0.8644400785854617,0.8118081180811808,0.8372978116079923,0.9507121405456362,1.0740799320474515e-05,93102.9404947323,23645,0.0229223937407485,0.926840239367728
machine-1-2,AE,0.9860012687671812,0.7542168674698795,0.577490774907749,0.6541274817136885,0.9280837315580012,1.5738477477861727e-05,63538.54757594143,23645,0.0229223937407485,0.926840239367728
machine-1-2,LSTM,0.996616620850074,0.8811881188118812,0.985239852398524,0.930313588850174,0.9018051360879796,3.8040955809942886e-05,26287.457260435785,23645,0.0229223937407485,0.926840239367728
machine-1-3,LOF,0.9651221780671344,0.4872611464968153,0.1872705018359853,0.2705570291777188,0.5287446894276928,6.472502325690538e-05,15449.975136058558,23654,0.0345396127504861,0.8596876052020173
machine-1-3,IF,0.9824553986640736,0.7723577235772358,0.6976744186046512,0.7331189710610932,0.8741064943836714,6.881622558438693e-06,145314.566660407,23654,0.0345396127504861,0.8596876052020173
machine-1-3,AE,0.961486429356557,0.3368055555555556,0.1187270501835985,0.1755656108597285,0.5475975795469022,1.4688771454612816e-05,68079.21296140552,23654,0.0345396127504861,0.8596876052020173
machine-1-3,LSTM,0.9616132577999492,0.3403508771929824,0.1187270501835985,0.176043557168784,0.5342456509811511,5.180794792182865e-05,19302.05769795916,23654,0.0345396127504861,0.8596876052020173
machine-1-4,LOF,0.9631837010736326,0.1893004115226337,0.0638888888888888,0.0955347871235721,0.6712205486286705,6.16599458956083e-05,16217.983740904068,23658,0.0304336799391326,0.8551742298989197
machine-1-4,IF,0.978780962042438,0.7369565217391304,0.4708333333333333,0.5745762711864407,0.939743063427016,6.717710716556829e-06,148860.23560605946,23658,0.0304336799391326,0.8551742298989197
machine-1-4,AE,0.9628878180742244,0.19140625,0.0680555555555555,0.1004098360655737,0.5541196801038548,1.4751542812930236e-05,67789.51955611487,23658,0.0304336799391326,0.8551742298989197
machine-1-4,LSTM,0.9630146250739708,0.1936758893280632,0.0680555555555555,0.1007194244604316,0.4800394299609576,3.574467410163944e-05,27976.195758744787,23658,0.0304336799391326,0.8551742298989197
machine-1-5,LOF,0.9902354482816924,0.2390438247011952,0.6,0.3418803418803419,0.9456569172645074,5.920165278330573e-05,16891.420306461274,23657,0.0042270786659339,0.9098961990661952
machine-1-5,IF,0.989051866255231,0.1857707509881423,0.47,0.2662889518413597,0.945662223542896,2.986870692460153e-06,334798.55774283427,23657,0.0042270786659339,0.9098961990661952
machine-1-5,AE,0.9900663651350552,0.2352941176470588,0.6,0.3380281690140845,0.9464290868956148,1.4603559204765832e-05,68476.45741550818,23657,0.0042270786659339,0.9098961990661952
machine-1-5,LSTM,0.9927716954812528,0.3690036900369003,1.0,0.5390835579514826,0.916473659634079,1.6384089276079304e-05,61034.82367250009,23657,0.0042270786659339,0.9098961990661952
machine-1-6,LOF,0.9752961082910322,0.9884302689180738,0.8524811218985976,0.9154358528815524,0.8981792544489452,5.780550762152145e-05,17299.389645489282,23640,0.1568527918781725,0.6504103099396423
machine-1-6,IF,0.9756768189509306,0.98755057578587,0.8557173678532902,0.9169195203005346,0.8648838900156973,4.3063324855643685e-06,232216.1615138141,23640,0.1568527918781725,0.6504103099396423
machine-1-6,AE,0.9768612521150593,1.0,0.8524811218985976,0.9203668656281846,0.8963994977746343,1.3594708120601658e-05,73558.0338414609,23640,0.1568527918781725,0.6504103099396423
machine-1-6,LSTM,0.9767766497461928,0.9993676889029404,0.8524811218985976,0.920098966671518,0.8973458044838969,3.620780033907221e-05,27618.358216610293,23640,0.1568527918781725,0.6504103099396423
machine-1-7,LOF,0.9526809878213802,0.9684981684981684,0.5512927439532944,0.7026308796173267,0.8935352205269097,6.726042371101776e-05,14867.584008933214,23648,0.1014039242219215,0.9216423131508984
machine-1-7,IF,0.9380074424898512,0.8996569468267581,0.4374478732276897,0.5886644219977553,0.8181526958740127,8.271240690456519e-06,120900.84636925328,23648,0.1014039242219215,0.9216423131508984
machine-1-7,AE,0.8957628552097429,0.3807829181494662,0.0446205170975813,0.0798805524449421,0.5022904773585831,1.3728349113424784e-05,72841.97041741255,23648,0.1014039242219215,0.9216423131508984
machine-1-7,LSTM,0.9968284844384304,0.97081475476287,0.9987489574645538,0.984583761562179,0.9112925182750332,4.020784844496919e-05,24870.7662477553,23648,0.1014039242219215,0.9216423131508984
machine-1-8,LOF,0.9668498942917548,0.4648829431438127,0.182175622542595,0.2617702448210922,0.426406939421619,9.74552008474982e-05,10261.125022612594,23650,0.0322621564482029,0.7971325790410695
machine-1-8,IF,0.9745454545454544,0.7306590257879656,0.3342070773263433,0.4586330935251798,0.7141164399874225,7.901243131064336e-06,126562.36283483346,23650,0.0322621564482029,0.7971325790410695
machine-1-8,AE,0.9736997885835096,0.6910569105691057,0.3342070773263433,0.450530035335689,0.7041407952146912,2.780660465123412e-05,35962.6791024131,23650,0.0322621564482029,0.7971325790410695
machine-1-8,LSTM,0.9688372093023256,0.5515873015873016,0.182175622542595,0.2738916256157635,0.4889805638632243,6.559524313009189e-05,15245.007904258366,23650,0.0322621564482029,0.7971325790410695
machine-2-1,LOF,0.9404948192006768,0.0,0.0,0.0,0.7014119772206535,6.83760710437143e-05,14624.999429415568,23645,0.0494819200676675,0.8954586173797218
machine-2-1,IF,0.96616620850074,0.7964743589743589,0.4247863247863248,0.5540691192865106,0.7851543690520332,4.995533939294216e-06,200178.8021364705,23645,0.0494819200676675,0.8954586173797218
machine-2-1,AE,0.985282300697822,0.9353813559322034,0.7547008547008547,0.8353831598864713,0.7335903900820475,1.4046018186552528e-05,71194.55398095575,23645,0.0494819200676675,0.8954586173797218
machine-2-1,LSTM,0.9947134700782406,0.9034749034749034,1.0,0.9492900608519268,0.6747710751737448,6.408178472809129e-05,15605.058508328868,23645,0.0494819200676675,0.8954586173797218
machine-2-2,LOF,0.8725635279692191,0.1422924901185771,0.0127073773385104,0.0233311730395333,0.6674224025564778,7.029189886302002e-05,14226.39046853366,23651,0.1197835186672868,0.9335658159152131
machine-2-2,IF,0.8739588178089721,0.2218045112781954,0.0208259795270031,0.0380767989674088,0.7889279831523244,8.726468228090692e-06,114593.89685061573,23651,0.1197835186672868,0.9335658159152131
machine-2-2,AE,0.8726480909898101,0.1434262948207171,0.0127073773385104,0.0233463035019455,0.7148146627163623,1.438877425864506e-05,69498.62316445616,23651,0.1197835186672868,0.9335658159152131
machine-2-2,LSTM,0.983171958902372,0.9309734513274336,0.9283445111189552,0.9296571226581832,0.6555594674122088,6.652274744927034e-05,15032.451880653174,23651,0.1197835186672868,0.9335658159152131
machine-2-3,LOF,0.9900592216582064,0.5445026178010471,0.7732342007434945,0.6390168970814133,0.5905243670109384,6.529892555062931e-05,15314.187661857515,23640,0.0113790186125211,0.8167622604729282
machine-2-3,IF,0.9946277495769882,0.7113095238095238,0.8884758364312267,0.7900826446280992,0.9519552000946744,2.986256347562607e-06,334867.4338745913,23640,0.0113790186125211,0.8167622604729282
machine-2-3,AE,0.99251269035533,0.6299435028248588,0.828996282527881,0.7158908507223115,0.9173821208535536,1.4235778341807312e-05,70245.54442964475,23640,0.0113790186125211,0.8167622604729282
machine-2-3,LSTM,0.995346869712352,0.7097625329815304,1.0,0.8302469135802468,0.9042375937261552,3.124091370612723e-05,32009.30707106276,23640,0.0113790186125211,0.8167622604729282
machine-2-4,LOF,0.9453045685279188,1.0,0.2367178276269185,0.3828162291169451,0.603709050367377,6.529331641025879e-05,15315.50325483056,23640,0.07165820642978,0.9135074907074348
machine-2-4,IF,0.9452199661590523,0.9950372208436724,0.2367178276269185,0.3824511206485455,0.8630613233232886,8.201116755882093e-06,121934.6132687075,23640,0.07165820642978,0.9135074907074348
machine-2-4,AE,0.9453045685279188,1.0,0.2367178276269185,0.3828162291169451,0.8153464939325689,2.101221658224823e-05,47591.36172453271,23640,0.07165820642978,0.9135074907074348
machine-2-4,LSTM,0.9453045685279188,1.0,0.2367178276269185,0.3828162291169451,0.669343656227785,7.051343908659522e-05,14181.693772898145,23640,0.07165820642978,0.9135074907074348
machine-2-5,LOF,0.9612944162436547,0.6101694915254238,0.1836734693877551,0.2823529411764706,0.8278957796710917,6.505671743612403e-05,15371.20284284018,23640,0.0414551607445008,0.9215284620787756
machine-2-5,IF,0.9620558375634518,0.6498194945848376,0.1836734693877551,0.2863961813842482,0.9321327251112272,7.57291877970049e-06,132049.48172434382,23640,0.0414551607445008,0.9215284620787756
machine-2-5,AE,0.9610406091370558,0.5980066445182725,0.1836734693877551,0.2810304449648712,0.7392001098762542,1.3876713196984957e-05,72063.1741684532,23640,0.0414551607445008,0.9215284620787756
