entity,model,accuracy,precision,recall,f1,auroc,threshold,latency,throughput,n_samples,anomaly_rate,pred_anomaly_rate
machine-1-1,IF,0.9822018994020401,0.9619932432432432,0.8455827765404603,0.9000395100750691,0.9011986450738804,0.10819818130580366,7.339440731838152e-06,136250.1635393071,28430,0.09475905733380233,0.08329229686950404
machine-1-1,LSTM,0.9994372142103412,0.9940959409594096,1.0,0.997039230199852,0.8811943567706729,0.04859064474701812,4.573340133670161e-05,21865.856699302352,28430,0.09475905733380233,0.09532184312346113
machine-1-5,IF,0.989051866255231,0.1857707509881423,0.47,0.26628895184135976,0.945662223542896,0.05669418884789757,3.6791605020537404e-06,271801.13491699833,23657,0.004227078665933973,0.010694509024812952
machine-1-5,LSTM,0.9927716954812529,0.36900369003690037,1.0,0.5390835579514824,0.916473659634079,0.044443579614160844,3.565631736871819e-05,28045.52106879424,23657,0.004227078665933973,0.011455383184681067
machine-2-1,IF,0.9661662085007401,0.7964743589743589,0.4247863247863248,0.5540691192865106,0.7851543690520332,0.0281500080559462,5.666381898766423e-06,176479.45688547764,23645,0.049481920067667585,0.02639035736942271
machine-2-1,LSTM,0.9947134700782406,0.9034749034749034,1.0,0.949290060851927,0.6747710751737448,0.0010805309657007515,9.850478748278683e-05,10151.790847472714,23645,0.049481920067667585,0.05476844998942694
machine-1-2,IF,0.9927680270670332,0.8644400785854617,0.8118081180811808,0.8372978116079924,0.9507121405456362,-0.020237613414706944,1.1159555931159268e-05,89609.30042098179,23645,0.022922393740748573,0.021526749841404104
machine-1-2,LSTM,0.996616620850074,0.8811881188118812,0.985239852398524,0.9303135888501742,0.9018051360879795,0.00035254325019195816,4.105553393937835e-05,24357.25233720201,23645,0.022922393740748573,0.025629097060689363
machine-1-7,IF,0.9380074424898511,0.8996569468267581,0.43744787322768974,0.5886644219977554,0.8181526958740127,-0.10302123131564506,8.1019874831989e-06,123426.50517218163,23648,0.10140392422192152,0.0493064952638701
machine-1-7,LSTM,0.9968284844384303,0.9708147547628699,0.9987489574645538,0.9845837615621789,0.9112925182750332,0.00026708176388637593,3.564633795671575e-05,28053.372585264417,23648,0.10140392422192152,0.10432171853856563
machine-1-4,IF,0.978780962042438,0.7369565217391304,0.4708333333333333,0.5745762711864407,0.9397430634270159,0.06778837859018494,4.829913771447183e-06,207043.0337517953,23658,0.03043367993913264,0.01944373996111252
machine-1-4,LSTM,0.9630146250739707,0.19367588932806323,0.06805555555555555,0.10071942446043165,0.4800394299609576,82.67641784667968,3.4767875559900224e-05,28762.183017974126,23658,0.03043367993913264,0.010694056978611886
machine-2-2,IF,0.8739588178089721,0.22180451127819548,0.020825979527003175,0.03807679896740884,0.7889279831523244,0.08742983228867685,5.9873578283264155e-06,167018.57959264808,23651,0.1197835186672868,0.011246881738615704
machine-2-2,LSTM,0.983171958902372,0.9309734513274336,0.9283445111189552,0.9296571226581831,0.6555594674122088,0.027883604168891907,6.539723901720159e-05,15291.165422701832,23651,0.1197835186672868,0.11944526658492241
machine-2-5,IF,0.9620558375634518,0.6498194945848376,0.1836734693877551,0.2863961813842482,0.9321327251112272,0.04367593148826998,7.447956852752175e-06,134265.0098235302,23640,0.04145516074450085,0.011717428087986464
machine-2-5,LSTM,0.96082910321489,0.5838509316770186,0.19183673469387755,0.2887864823348694,0.888971441180179,0.0824169769883157,5.211713197962645e-05,19187.548547201684,23640,0.04145516074450085,0.01362098138747885
